1	1 
2	2 
3	2 
4	3 
5	2 
6	1 
7	1 
8	3 
9	3 
10	4 
11	3 
12	1 
13	4 
14	3 
15	4 
16	4 
17	3 
18	3 
19	3 
20	1 
21	1 
22	1 
23	4 
24	3 
25	3 
26	1 
27	2 
28	3 
29	4 
30	2 
31	3 
32	2 
33	1 
34	2 
35	1 
36	1 
37	4 
38	1 
39	1 
40	3 
41	2 
42	4 
43	2 
44	2 
45	1 
46	2 
47	3 
48	3 
49	2 
50	3 
51	4 
52	4 
53	3 
54	2 
55	4 
56	1 
57	2 
58	3 
59	4 
60	3 
61	1 
62	2 
63	4 
64	4 
65	1 
66	1 
67	1 
68	1 
69	4 
70	4 
71	4 
72	1 
73	2 
74	4 
75	4 
76	3 
77	4 
78	2 
79	4 
80	2 
81	1 
82	3 
83	1 
84	2 
85	2 
86	4 
87	2 
88	1 
89	3 
90	3 
91	2 
92	2 
93	4 
94	3 
95	4 
96	1 
97	4 
98	2 
99	3 
100	3 
101	1 
102	4 
103	3 
104	4 
105	4 
106	2 
107	1 
108	1 
109	2 
110	4 
111	4 
112	1 
113	2 
114	4 
115	2 
116	2 
117	3 
118	4 
119	1 
120	2 
121	3 
122	3 
123	3 
124	2 
125	2 
126	3 
127	1 
128	1 
